date,value
2014-01-01,19.60
2014-01-02,20.33
2014-01-03,20.67
2014-01-06,20.89
2014-01-07,21.43
2014-01-08,21.00
2014-01-09,20.22
2014-01-10,20.00
2014-01-13,19.38
2014-01-15,20.00
2014-01-16,19.38
2014-01-17,19.11
2014-01-20,18.00
2014-01-21,18.12
2014-01-22,17.50
2014-01-23,17.50
2014-01-24,17.14
2014-01-27,16.78
2014-01-28,17.00
2014-01-30,16.33
2014-01-31,15.89
2014-02-03,16.11
2014-02-05,16.00
2014-02-06,15.89
2014-02-07,15.67
2014-02-10,16.33
2014-02-11,16.00
2014-02-12,15.78
2014-02-13,15.25
2014-02-14,15.88
2014-02-17,15.22
2014-02-18,14.88
2014-02-19,14.67
2014-02-20,14.44
2014-02-21,14.44
2014-02-24,14.78
2014-02-25,15.44
2014-02-26,15.44
2014-02-27,16.00
2014-02-28,15.67
2014-03-03,15.89
2014-03-04,15.89
2014-03-05,15.80
2014-03-06,16.00
2014-03-07,15.89
2014-03-10,15.78
2014-03-11,15.78
2014-03-12,16.00
2014-03-13,16.00
2014-03-14,16.11
2014-03-18,16.00
2014-03-19,15.57
2014-03-20,15.29
2014-03-21,15.29
2014-03-24,15.62
2014-03-25,15.62
2014-03-26,15.75
2014-03-27,15.25
2014-03-28,14.88
2014-03-31,14.38
2014-04-01,15.00
2014-04-02,15.00
2014-04-03,15.43
2014-04-04,15.22
2014-04-07,14.20
2014-04-09,14.78
2014-04-11,14.67
2014-04-15,14.50
2014-04-16,14.57
2014-04-17,14.00
2014-04-21,15.11
2014-04-22,15.22
2014-04-23,16.50
2014-04-24,15.75
2014-04-25,15.44
2014-04-28,16.00
2014-04-29,15.56
2014-04-30,15.33
2014-05-01,15.75
2014-05-02,16.11
2014-05-05,15.44
2014-05-06,16.11
2014-05-07,16.11
2014-05-08,16.00
2014-05-09,15.00
2014-05-12,16.00
2014-05-13,16.67
2014-05-15,16.22
2014-05-16,16.29
2014-05-19,16.11
2014-05-20,16.11
2014-05-21,16.22
2014-05-22,16.22
2014-05-23,16.22
2014-05-26,17.33
2014-05-27,17.56
2014-05-28,17.56
2014-05-29,17.56
2014-05-30,17.78
2014-06-02,17.67
2014-06-03,17.22
2014-06-04,17.25
2014-06-05,17.33
2014-06-06,17.44
2014-06-09,18.22
2014-06-10,18.67
2014-06-11,19.25
2014-06-12,19.75
2014-06-13,19.71
2014-06-16,20.14
2014-06-17,20.12
2014-06-18,19.89
2014-06-19,20.38
2014-06-20,21.00
2014-06-23,21.75
2014-06-24,22.22
2014-06-25,22.67
2014-06-26,22.89
2014-06-27,23.89
2014-06-30,26.43
2014-07-01,26.62
2014-07-02,27.33
2014-07-03,27.33
2014-07-04,27.78
2014-07-07,28.78
2014-07-08,29.67
2014-07-09,29.78
2014-07-10,29.33
2014-07-11,29.22
2014-07-14,29.00
2014-07-15,28.44
2014-07-16,28.22
2014-07-17,28.22
2014-07-18,28.22
